TimeStamp,Incoming Calls,Outgoing Calls,Connected Calls,Incoming Channels,Outgoing Channels,Contexts,Queued Messeges,TPKT Channels,UDP Channels
1224693071,0,0,0,0,0,0,0,0,0
1224693371,0,0,0,0,0,0,0,0,0
1224693671,0,0,0,0,0,0,0,0,0
