TimeStamp,MGCP Sessions,CA Endpoints,GW Endpoints,Media Sessions,Client Trans,Server Trans,Pending MBCD,MGCP ALGs,Port Maps Available,Port Maps Allocated
1224693071,0,0,0,0,0,0,0,0,0,0
1224693371,0,0,0,0,0,0,0,0,0,0
1224693671,0,0,0,0,0,0,0,0,0,0
